Data;Dia;Hora;BTN A;BTN B;BTN C;IP
1/jan./2021;sáb.;00:15; 	0,0212587   ; 	0,0280469   ; 	0,0367390   ; 	0,0613658   
1/jan./2021;sáb.;00:30; 	0,0208215   ; 	0,0271966   ; 	0,0356879   ; 	0,0613658   
1/jan./2021;sáb.;00:45; 	0,0204079   ; 	0,0264184   ; 	0,0345648   ; 	0,0613658   
1/jan./2021;sáb.;01:00; 	0,0200547   ; 	0,0257748   ; 	0,0333580   ; 	0,0613658   
1/jan./2021;sáb.;23:45; 	0,0211336   ; 	0,0286711   ; 	0,0375659   ; 	0,0613658   
1/jan./2021;sáb.;24:00; 	0,0211585   ; 	0,0282387   ; 	0,0360159   ; 	0,0613658   
2/jan./2021;dom.;00:15; 	0,0213416   ; 	0,0278555   ; 	0,0346149   ; 	0,0613658   
31/dez./2021;sáb.;23:30; 	0,0239627   ; 	0,0319248   ; 	0,0411455   ; 	0,0613658   
31/dez./2021;sáb.;23:45; 	0,0232100   ; 	0,0309146   ; 	0,0391448   ; 	0,0613658   
31/dez./2021;sáb.;24:00; 	0,0224528   ; 	0,0299315   ; 	0,0369790   ; 	0,0618491   